id,no_of_comments,sentiment,sentiment_score,ticker
1,7,Bullish,0.371,BABA
2,6,Bullish,0.13,GME
3,6,Bearish,0.0,AFRM
4,5,Bearish,0.0,PINS
5,5,Bullish,0.195,ROOT
6,4,Bullish,0.286,CHWY
7,3,Bullish,0.242,MVIS
8,3,Bullish,0.67,WISH
9,3,Bullish,0.159,AMC
10,3,Bullish,0.158,TELL
11,3,Bullish,0.19,AMD
12,3,Bullish,0.04,AAPL
13,3,Bearish,-0.109,NVDA
14,3,Bearish,-0.382,CLOV
15,3,Bullish,0.298,AI
16,3,Bullish,0.227,EV
17,2,Bearish,-0.361,QCOM
18,2,Bearish,0.0,FCX
19,2,Bullish,0.293,AMZN
20,2,Bullish,0.211,RE
21,2,Bearish,-0.273,DOCU
22,2,Bearish,-0.039,REAL
23,2,Bullish,0.22,PLTR
24,1,Bullish,0.043,CHN
25,1,Bearish,0.0,ACH
26,1,Bearish,0.0,AKTS
27,1,Bullish,0.421,LI
28,1,Bullish,0.336,ONE
29,1,Bullish,0.191,RBLX
30,1,Bullish,0.738,BJ
31,1,Bearish,-0.115,CRSR
32,1,Bearish,-0.978,POST
33,1,Bearish,-0.098,CLF
34,1,Bearish,0.0,WM
35,1,Bullish,0.258,OPEN
36,1,Bearish,-0.034,TDA
37,1,Bullish,0.218,QQQ
38,1,Bullish,0.903,CRM
39,1,Bearish,0.0,TQQQ
40,1,Bullish,0.053,HOOD
41,1,Bullish,0.945,CRWD
42,1,Bullish,0.58,NNDM
43,1,Bullish,0.02,GM
44,1,Bearish,0.0,BRK-B
45,1,Bullish,0.133,TD
46,1,Bullish,0.637,NYC
47,1,Bearish,0.0,TEAM
48,1,Bullish,0.415,TGT
49,1,Bearish,-0.459,PB
50,1,Bullish,0.026,UK
